questions,types
Name the number of species with sepal width of 3.4 and sepal length of 5.4,3
Who is the director and what number is the episode for episode #1 of Are You Afraid of the Dark season 3?,0
Who wrote episode #1 in season 7?,0
What's the report on Penske Racing winning while the pole position was Al Unser?,0
What is the model number introduced May 1999?,0
How many winners are there of farma?,3
What is the most cup goals for seasson 1911-12?,1
what's the minimum attendance with score  10.16 (76) – 9.22 (76),2
what is the minimum attendance with score 8.16 (64) – 8.12 (60),2
How many mileposts are there on Anne Street?,3
What is the minimum amount for wool for 2001-02?,2
How many wheels does the train owned by Texas and New Orleans Railroad #319 have?,3
What is the enrollment for the institution that was founded in 1866 and is a private/(african methodist) type?,0
"which is the year founded for the institution location of Nashville, Tennessee?",0
How many games had a score value of 813.5 in post-season play?,3
"How many institutions are located in wilmore, kentucky and private",3
how many founded dates are listed for carlow university 1,3
"How many episodes were titles ""voicemail""?",3
What is the least number of candidates running were there when 80 seats were won?,2
How many seats were won in the election with 125 candidates?,3
How many weeks are there?,3
How many people attended the game against the indianapolis colts?,3
How many results are there for the 0-4 record?,3
"How many weeks are there that include the date October 11, 1969.",3
"How many weeks are there that include the date November 9, 1969.",3
How many records are there at the War Memorial Stadium?,3
"What was the minimum attendance on December 7, 1969?",2
What week corresponds to the last one to be played at the memorial stadium?,1
what is the maximum pick # where player is anthony blaylock,1
what is the minimum pick # where position is defensive tackle,2
What is Friesland's gdp per capita?,0
What is the area of the place that has a population density of 331.4?,0
What is the highest no. in season?,1
"How many episodes aired in Region 2 beginning May 26, 2008?",3
What is the least amount of season epidsodes?,2
How many points for 2005?,3
how many positions in 2009?,3
what is the least number of poles?,2
What is the total for 10th position?,4
how many reports of races took place on october 16?,3
What is the lowest sex ratio in rural areas?,2
What is the lowest child sex ratio in groups where employment is 31.3%?,2
"How many episodes were titled ""identity crisis""?",3
How many pre-race analysis occur when Allen Bestwick does the lap-by-lap?,3
What's the highest season number of an episode in the series?,1
How many titles got a viewership of 26.53 million?,3
How many titles were there for the 113 episode?,3
What is the number in the season that Marlene Meyer wrote and 20.49 million people watched?,1
How many rounds were there of the Bosch Spark Plug Grand Prix?,3
On how many dates did the Michigan International Speedway hold a round?,3
Name the total number of bids of the sun belt conference,4
What is the number of bids with elite eight larger than 1.0,3
what is the greatest number of wins by japanese formula three?,1
What episode aired on 18 April 2007?,0
How many directors were there for the film Course Completed?,3
How many villages had 21.7% of slovenes in 1991?,3
What's the pick number of the player from Toronto Argonauts?,0
What's the pick number of the player from New Mexico?,0
What is the minimum introduced value for the Departmental region?,2
What is the smallest introduced value?,2
What is the earliest pick listed in the table.,2
What episode number had production code e4423?,0
What's the latest episode in a season where the U.S. viewers totaled 14.37 million?,1
"How many seasons is the season finale on May 26, 2010?",3
What is the lowest ru?,2
What's the minimum total attendance of the Premier League association football?,2
What's the average attendance of the leagues in the season of 2013?,5
What's the total attendance of the leagues in season of 2010?,4
How many are listed under 潮爆大狀,3
"How many people wrote ""Michael's Game""?",3
What's the total number of episodes with the production code 2395113A?,3
"What's the time of the episode called ""Melrose Unglued""?",0
What is McMaster College's pick number?,0
give the least number of times an episode was shown from 1997-1998,2
"how many times does the episode called ""coop de grace"" appear ",3
what is season 6 sum of both the number of times processing ID 2397162 was assigned and the number of times chip chalmers managed an episode ,0
How many colleges have a DB position?,3
What is the maximum number of picks for the CFL team Calgary Stampeders?,1
How many CFL teams are from York college?,3
How many times were players named brett ralph were selected?,3
What is the highest selection number for the saskatchewan roughriders team?,1
How many fb players were drafted?,3
How many players played for adams state school?,3
What is the number of position where the pick number is 43?,3
How many songs have mi-chemin as their Japanese name and romanji name?,3
How many conditions have an unaffected prothrombin time and a prolonged bleeding time,3
"In Round 6, how many winning drivers were there?",3
What is the listed population from the 2010 census of West Bogor?,0
How many districts have an area of 17.72 KM2?,3
What is the number of colour with the regisration number of mg-509?,3
What episode in the season was directed by Jeff Melman?,2
How many episodes had 16.03 million viewers?,3
"What is the number of interregnum for duration 3 months, 6 days?",3
what is the minimum value,2
Which episode in the series drew 3.6 million U.S. viewers? ,0
How many times did episode 79 originally air? ,3
League apps (sub) maximum?,1
What is total goals is 11 what was the league apps (sub)?,4
"What is the lowest weekly rank with an air date of november 26, 2007?",2
What is the number of capacity at somerset park?,3
What is the minimum capacity where airdrie united is?,2
What is the highest of ayr united?,1
What is the average?,5
How many times is 3 credits 180?,3
How many 3 credits are there with 5 credits of 5?,3
How many 4 credits is the hand two pair?,3
What is the lowest attendance that East End Park has ever had?,2
What is the lowest attandance recorded at Cappielow?,2
What is the highest attendance at a game played by St. Johnstone?,1
What is the highest attandence at a Hamilton Academical game?,1
what is the total number of semi-finalist #2 where runner-up is east carolina,3
 how many numer of jamaicans granted british citizenship with naturalisation  by marriage being 1060,3
what is the maximum year with registration of a minor child being 281,1
"How many episodes had their first air date on March 6, 2008?",3
"where title is beginning callanetics , what is the total of format ?",0
"What was the GF attendance at the location of Sydney Football Stadium, Sydney (6)?",0
"What is the compression ratio when the continuous power is  hp (KW) at 2,200 RPM and the critical altitude is at sea level?",0
"When the engine is Wasp Jr. T1B2, what is the number needed for takeoff power?",0
"How many episodes aired on october 27, 2008",3
what is the most value,1
How many seasons did the canterbury bulldogs (8) win?,3
"How many teams lost at the sydney football stadium, sydney (11)?",3
How many characters were portrayed by the informant of don flack?,3
What was the duration of Robert Joy's portrayal?,4
What is the least top division titles?,2
What is the least number of seasons in top division?,2
How many viewers (millions) were there for rank (week) 20?,3
What is the lowest rank (night) for having viewers (millions) 5.25?,2
"How many times was the episode named ""conference call""?",3
How many times was the rank (night) 11?,3
HOW MANY TONS OF CO2 EMISSIONS DID RUSSIA PRODUCE IN 2006?,4
WHAT WAS THE AVERAGE EMISSION PER KM 2 IN INDIA?,5
What is the number of rank with the viewership of 5.96 million?,3
How many platinum points were awarded when 6 gold points were awarded?,3
How many platinum points were awarded for 5th place?,3
What was the share for the first episode that ranked 85?,0
What's the total number of episodes whose original airings were viewed by 1.82 million viewers?,3
What is the number of jews where the rank is 1?,3
how many crew had u15 3rd iv being bgs and u15 1st iv being acgs and open 1st viii being acgs,3
how many open 2nd viii had u15 3rd iv being gt,3
How many schools have an enrollment of 850?,3
How many schools are located in South Brisbane?,3
When was SPLC founded?,0
What is the enrollment of STM which has been in competition since 1990?,0
How many on the list are called the Austrian Grand Prix?,3
How many rounds were 2r?,3
What is the number of group b winner for francavilla?,3
whatthe minimum round where grand prix is german grand prix,2
what of the total number of date where grand prix is portuguese grand prix,3
What is the number of pole position with a round of 15?,3
Which rd. occurred on 22 October?,0
Which rd. took place at Hockenheimring?,0
How many drivers had the fastest lap at Silverstone?,3
How many providers were founded in 1964?,3
What is the minimum number for the half marathon (womens)?,2
Whatis the total number of half marathon (mens) that represented kazakhstan?,3
What is amount of countries where half marathon (women) is larger than 1.0?,4
How many times is Moldova the winner of half marathon (womens)?,3
How many events did nigel mansell drive the fastest and a mclaren - honda win?,3
what was the crowd when the scores are 10.12 (72) – 8.11 (59)?,0
what's the total number of race winner with rnd being 10,4
How many rounds did Patrick Tambay record the fastest lap?,3
How many races had the pole position Alain Prost and the race winner Keke Rosberg?,3
what's the minimum rnd with race  italian grand prix,2
what's the total number of report with date  29 april,3
How many days is the Monaco Grand Prix?,3
How many rounds were won with James Hunt as pole position and John Watson as  fastest lap?,3
The Dijon-prenois had how many fastest laps?,3
how many times is the pole position niki lauda and the race is monaco grand prix?,3
How many dates have silverstone circuit,3
How many constructors are listed for the XVI BRDC international trophy race,3
What is the total amount of circuts dated 22 april?,4
How many different kinds of reports are there for races that Juan Manuel Fangio won?,3
How many constructors won the III Redex Trophy?,3
How many titles were directed in series 79?,3
When did Shelia Lawrence join the series?,0
How many houses are green?,3
In which week was the game against a team with a record of 3-6 played?,0
"How many opponents were there at the game with 64,087 people in attendance?",3
"How many times was there a kickoff in the September 4, 1988 game? ",3
How many crowds watched the game where the record was 1-3? ,3
What year finished with Daniel Zueras as the runner-up?,0
How many people hosted the show in the year when Chenoa  ended up in fourth place?,3
How many fourth places were there in 2003?,3
How many have are model 2.4 awd?,3
How many engine b5204 t3?,3
How many engine b5234 t3?,3
 how many power (ps) with torque (nm@rpm) being 240@2200-5000,3
How many positions are for creighton?,3
Which number is the player from Minnesota?,0
What is the number for years 1985-88,0
What is the number of school/club teams held by BYU?,0
What is the largest jersey number for the player from maryland,1
How many schools did darryl dawkins play for,3
How many schools are listed for the player who played the years for Jazz in 2010-11?,3
How many players were names Howard Eisley?,3
How many players have played for Jazz during 2006-2007?,3
For how many players from UTEP can one calculate how many years they've played for Jazz?,3
How many position does Jim Farmer play in?,3
How many years did Paul Griffin play for the Jazz?,3
How many players only played for the Jazz in only 2010?,3
"What year did the University of California, San Diego take 1st place?",0
"What was the margin of victory over Justin Leonard, phillip price?",0
How many times did Tiger get second in the year where there were 11 cuts?,3
"What amount of times is the name, Bok De Korver listed?",4
What is the total number of goals on the debut date of 14-04-1907?,4
What is the toatl number of caps where the name is Hans Blume?,4
How many different scores are there for the Verizon Classic?,3
How many tournaments were held in Maryland?,3
How many different locations have the score 207 (-10)?,3
What is the founding of parsu cimmarons?,0
What was the number of nickname founded 1918?,0
What was the number of location of nickname cbsua formerly known cssac?,0
What is the total of port adelaide,0
what's the maximum purse( $ ) with score value of 204 (-9),1
How many scores were at the Northville Long Island Classic?,3
what is the total number of purse( $ ) where winner is jimmy powell (2),4
what is the minimum purse( $ ) where tournament is ko olina senior invitational,2
what is the maximum 1st prize( $ ) where score is 193 (-17),1
How many tournaments ended with a score of 204 (-12)?,3
What was the minimal amount ($) of the 1st prize in the tournaments in New Mexico?,2
How many locations logged a score of 206 (-7)?,3
How many tournaments recorded a score of 206 (-7)?,3
How many purses were there for the  mar 16?,3
"What is the production code of ""surprise, surprise""?",0
What was the season number for the episode with the series number 61?,0
"How many matches had the result of 6–3, 6–2?",3
How many celebrities had an 18October2007 Original air Date?,3
"What is the number of series of the title of ""your wife's a payne""?",0
"What is the number of series with a title of ""with friends like these""?",0
What is the number of series with production code 503?,0
What is the minimum enrollment at barton college,2
"What is the amount of marginal ordinary income tax rate for single in which the range is $8,351– $33,950?",0
"What is the amoun of marginal ordinary income tax rate where married filing jointly or qualified widow is $208,851–$372,950?",0
what is the total number of coach where captain is grant welsh and win/loss is 5-15,3
what is the maximum season where leading goalkicker is scott simister (54),1
How many different voivodenship have 747 900 citizes?,3
What year did longwood university leave the conference?,0
How many times did anderson university leave?,3
What is the minimum gross tonnage of the Munich? ,2
what is the maximum tonnage where date entered service is 25 march 1986 ,1
Where is the first season that Anthony Hemingway appears?,0
When is the first season there were 14.57 million U.S viewers?,0
How many champions were there in 2009?,3
"How many players were from high point, nc?",3
How many hometowns does the catcher have?,3
How many schools did Bubba Starling attend?,3
How many positions did the player from Spring High School play?,3
How many schools did Mike Jones attend?,3
HOW MANY PLAYERS PLAY FOR OREGON?,3
"How many players are from Delray Beach, Florida?",3
How many schools did Derrick Green attend?,3
How many positions does Greg Bryant play?,3
How many schools did Derrick Green attend?,3
"What position is associated with the hometown of Olney, Maryland?",0
"How many players are from Indianapolis, Indiana? ",3
how many times was the player felipe lopez?,3
Name the total number of nba drafts that went to east side high school,4
How many years where Neu-Vehlefanz had a number of 365?,3
How many times did Neu-Vehlefanz occur when Schwante had 2.043?,3
How many years where Eichstädt had a number of 939?,3
How many have been replaced where the appointment date is 10 December 2007 and the manner of departure is quit?,3
How many manners of departure did peter voets have?,3
"How many series has the title ""interior loft""?",3
What is the first series number that Adele Lim wrote?,0
"Kimball, toby toby kimball is a player; How many times at school/ club team/country  was the player present?",3
what is the total number of player where years for rockets is 1975-79,3
what is the total number of player where years for rockets is 2004-06,3
what is the total number of years for rockets where school/club team/country is baylor,3
How many positions had jersey number 32,3
What is the lowest date settled for chifley?,2
What is the density in Garran?,0
What is the minimum of t20 matches?,2
What is the maximum fc matches?,1
What is the maximum fc matches at the racecourse?,1
What is the maximum t20 on green lane?,1
How many countries has a gdp (nominal) of $29.9 billion?,3
What is the area (km²) for the country with a population of 16967000?,0
How many releases did the DVD River Cottage forever have?,3
What is the total number of discs where the run time was 4 hours 40 minutes?,3
Name the number of complement for 4th hanoverian brigade,3
HOW MUCH WAS THE OVERALL FOR ERIK KARLSSON?,4
WHAT ROUND WAS FORWARD ANDRE PETERSSON SELECTED?,0
NAME THE OVERALL FOR THE OMAHA (USHL) CLUB TEAM,1
How many rounds is the player Matthew Puempel associated with?,3
How many players had overall 78?,3
What is the last round with club team Guelph Storm (ohl)?,1
How many positions did player Ben Harpur play?,3
Barry University had the highest enrollment of what number?,1
"If the enrollment is 3584, what's the largest founded?",1
Barry University had a maximum enrollment of what?,1
"What was the series number for the episode ""I Forgot to Remember to Forget""?",0
Which episode number in season 5 was viewed by 3.00 million U.S. viziers?,0
what is the total number of percent (2000) where percent (1980) is 3.4%,3
what is the maximum norwegian americans (2000) where norwegian americans (1990) is 9170,1
what is the minimum norwegian americans (1980) where state is rhode island,2
What is the smallest track number?,2
How many tracks are titled Mō Sukoshi Tōku?,3
How many doubles champions were there for the Serbia f6 Futures tournament?,3
How many singles tournaments did Ludovic Walter win?,3
What is the number of nicknames for the meaning of god knows my journey.,3
What is the number of meaning where full name is chidinma anulika?,3
what is the total number of location where station number is c03,3
"What is the earliest year where the mintage (proof) is 25,000?",2
What is the number of first class team with birthday of 5 december 1970?,0
How many musical guests and songs were in episodes with a production code k0519?,3
"How many episodes originally aired on August 31, 1995?",3
"How many episodes were titled ""Man's best friend""?",3
"What is the season # when the musical guest and song is lisa stansfield "" you know how to love me ""?",0
What is the season # where production code is k1505?,0
How many titles are there for season 8,3
How many numbers were listed under attendance for March 2?,3
How many times is the score 98–90?,3
"What is the game that the location attendance is pepsi center 19,894?",0
"How many high points were at the wachovia center 18,347?",3
How many times was the game 39?,3
What is San Antonio  game number?,0
"When gordon (27) had high points, what was the number of high assists?",3
How many high points were there in the game 67?,3
how many times was the high rebounds by Mcdyess (9) and the high assists was by Billups (10)?,3
How many players had the most points in the game @ Milwaukee?,3
What was the total number of games where A. Johnson (6) gave the most high assists?,3
What's the minimal game number in the season?,2
What is the lowest #?,2
How many times was the final score  l 96–123 (ot)?,3
How many times was the high assists earl watson (5) and the date of the game was december 2?,3
"What is the number of the leading scorer for keyarena 16,640?",3
What is the number of leading scorer of february 21?,3
what is the maximum game where high points is mickaël gelabale (21),1
Name the minimum game,2
How many successors were seated in the New York 20th district?,3
How many teams placed 4th in the regular season?,3
How many open cups were hosted in 1993?,3
"What year did they finish 1st, southern?",2
 how many countries sampled with year of publication being 2007 and ranking l.a. (2) being 7th,3
How many losingteams were for the cup finaldate 20 August 1989?,3
How many seasons was the losing team Adelaide City?,3
How many womens singles winners were there when peter rasmussen won the mens singles?,3
Name the number of titles written by adam i. lapidus,0
"When pinyin is xīnluó qū, what is the simplified value?",0
"How many NHL teams are there in the Phoenix, Arizona area?",3
What is the media market ranking for the Blackhawks?,0
How many netflow version are there when the vendor and type is enterasys switches?,3
Name the minimum for prohibition?,2
What is the number of jurisdiction for 57.3 percent?,3
Name the max for prohibition.,1
How many trains leave from puri?,3
What is the number of nationality in 1992?,3
How many times does the  rebuilt data contain cannot handle non-empty timestamp argument! 1929 and scrapped data contain cannot handle non-empty timestamp argument! 1954?,3
How many times was the rebuilt data cannot handle non-empty timestamp argument! 1934?,3
What is the highest number listed?,1
The 1.6 Duratec model/engine has how many torque formulas?,3
How many capacities are possible for the 1.6 Duratec model/engine?,3
 how many president with date of inauguration being 4june1979,3
" how many end of term with age at inauguration being 64-066 64years, 66days",3
How many games were on May 20?,3
How many NHL teams does Terry French play for?,3
How many positions do the players of Chicago Black Hawks play in?,3
What's Dave Fortier's pick number?,0
How many teams did Bob Peppler play for?,3
How many nationalities are listed for the player Glen Irwin?,3
what is the total number of pick # where nhl team is philadelphia flyers,3
What's the total number of episodes with production code 2T6705?,3
What's the total number of directors who've directed episodes seen by 11.34 million US viewers?,3
What is the number of runner up when the winner of women is norway and third is sweden?,3
How many episodes were written only by William N. Fordes?,3
How many classes are taken in the third year when pag-unawa was taken in the first year?,3
How many years did Peter Mikkelsen win the Mens Singles?,3
How many Mixed Doubles won when Oliver Pongratz won the Men's Singles?,3
How many subjects have the pinyin shixun?,3
How many pinyin transaltions are available for the chinese phrase 釋蟲?,3
What chapter number is Shiqiu?,0
How many mens doubles when womens doubles is catrine bengtsson margit borg?,3
Name the number of mens doubles for 2004/2005,3
Name the total number for mens single for 2002/2003,3
How many times was pernell whitaker an opponent?,3
How many opponents fought on 1982-12-03?,3
"How many trains call at Castor, Overton, Peterborough East and are operated by LNWR?",3
what's the minimum production code written by jay sommers & dick chevillat and al schwartz,2
what's the total number of title for production code 39,3
"How many episodes were titled ""a pig in a poke""? ",3
What episode was written by Bobby Bell and Bill Lee?,1
How many women doubles teams competed in the same year as when Jamie van Hooijdonk competed in men singles?,3
what is the maximum number of hull numbers?,1
what is the maximum number of hull nunbers where ship name is kri yos sudarso?,1
How many leaders are there in the intergiro classification in stage 20?,3
Name the general classification of stage 15,3
Name the total number of trofeo fast team of stage 16,3
How many times was the GFR 2006 equal to 53.2?,3
How many mens doubles took place in 1970/1971?,3
What is the number of rank of peak fresvikbreen?,3
When did Chetan Anand win his first men's single?,2
How many times did Niels Christian Kaldau win the men's single and Pi Hongyan win the women's single in the same year?,3
 how many reverse with series being iii series,3
How many times did kingfisher east bengal fc win?,2
How many times did bec tero sasana win?,1
count the fastest time once.,3
 how many runners-up with nation being india,3
 how many winners with # being 4,3
how many maximum winners,1
What was the total of arlenes vote when craig voted for brian and karen?,3
What is the max week where kate and anton are eliminated?,1
What is the number eliminated when kelly and brendan are safe?,3
What is the total number of brunos vote when willie and erin are eliminated?,3
What is the number of locations with the fastest times of 11.13?,3
What's the number of episodes with a broadcast order s04 e07?,3
"what's the total number of episodes with a US air date of january 15, 2005?",3
"What's the series number of the episode titled ""The Quest""?",0
What's the series number of the episode with a broadcast order s04 e07?,0
"Which crime rate per 1,000 people is associated with a cost per capita of $152?",0
what is the lowest population number?,2
What is the preliminary score associated with the interview score of 8.488?,0
What swimsuit score did the state of Virginia contestant achieve?,0
How many results are there with the original title of ani ohev otach roza (אני אוהב אותך רוזה)?,3
What is the numberof running wiht pamela zapata?,3
What's the number of the player with 68.46 (1144 pts) in riding?,3
What is the total number of titles written by Casey Johnson?,3
How many millions of total viewers watched series #57?,3
"What is the latest year that 6th, Heartland is regular season?",1
"What is the lowest year that regular season is 4th, Rocky Mountain?",2
How many players lost to eventual winner in the season when ASC Jeanne d'Arc lost to eventual runner up?,3
What's the number of seasons i which USC Bassam lost to eventual runner-up?,3
How many divisions were listed in 2006?,3
How many people named Nick Lucas are on the show?,3
How many networks aired the franchise in 1981 only?,3
"In how many networks the local name of the franchise was ""in sickness and in health""?",3
How many losing hands are there before 2007?,3
"What is the August 15, 2012 population when the  population density of 2012 is 307?",0
"For the sector of Gatunda how many entires are show for the August 15, 2012 population?",3
What is the population density for 2012 for Gatunda sector?,2
What is the highest population for the ,1
What is the biggended for 1947?,1
What is the monto where the total region is 11230?,0
What is the gayndah when perry is 304?,0
What is the minimum mundubbera when biggenden is 1882,2
What is the highest value under the column goals against?,1
how many times is the date (to) 1919?,3
how many notes are form the date (from) 14 march 1910?,3
what is the maximum total region with fitzroy being 8047,1
what is the minimum rockhampton,2
How many population figures are given for Glengallen for the year when the region's total is 30554?,3
What is the maximum population size in the town of Stanthorpe?,1
What is the maximum population size in the town of Glengallen?,1
What was the population in Stanthorpe in the year when the population in Rosenthal was 1548?,0
How many population total figures are there for the year when Allora's population was 2132?,3
What is the minimum laid down?,2
"How many master recordings are there for ""Famous for Nothing""?",3
What is the biggest number of the team who's owned by Jeff Gordon?,1
What's the total number of crew chiefs of the Fas Lane Racing team?,0
What is the number for De Vries?,3
Name the number of constr with the first win at the 1978 brazilian grand prix,3
How many compound names list a chemical class of depsipeptide and a clinical trials β value of 1/7?,3
How many trademarks list a molecular target of minor groove of dna and a clinical status value of phase i?,3
what is the least amount in the tournament?,2
How many times was Sanger 3730xl $2400 usd?,3
How was times was the dance the jive and the week # was 10?,3
How many time is sunday day one is ahad?,3
What is the least amount of freight carried when the super b capacity reached was February 26?,2
What is the most number of truck loads north?,1
What is thea year the road closed April 13?,0
How many were won with the points against was 450?,3
What is the number of the name for number 4?,0
What is the most number?,1
what amount played tried for 60? ,0
What amount of points where points  were 389?,4
HOW MANY GAMES WERE LOST BY 12 POINTS?,3
How many listings are under money list rank wher 2nd' value is larger than 2.0?,3
How many rain figures are provided for sunlight hours in 1966?,3
How many races is different distances does Rosehill Guineas compete in? ,3
"How many backgrounds are there represented from Memphis, Tennessee?",3
How many people had a prosecutor background?,3
How many clubs have a tries against count of 41?,3
How many clubs have won 6 games?,3
How many clubs have a tries against count of 45 and a losing bonus of 4?,3
How many clubs have tries for count of 50?,3
How many electorates are there with Hedmark as a constituency?,3
List the smallest possible spoilt vote with the sør-trøndelag constituency.,2
What's the total number of episodes both directed by Tom Hooper and viewed by 8.08 million viewers?,3
What's the total number of directors whose episodes have been seen by 9.14 million viewers?,3
 what's the no with current club being panathinaikos and position being forward,3
What year was the player born who is 2.02m tall?,0
What number does aleksandar ćapin wear?,3
Name the total number of grupo capitol valladolid,3
What is the total number that has a height of 2.06?,3
What is the minimum year born for strasbourg?,2
What number is Andrea Bargnani?,3
How many clubs does number 6 play for?,3
 how many player with no being 12,3
How many different values of total power are there for the unit whose construction started on 01.03.1977 and whose commercial operation started on 01.02.1984?,3
what is the total viewers where the date of first broadcast is 28 january 2010 and the episode number is 1?,2
what is the episode number where the total viewers is 614000?,0
In what year did Easton LL Easton play in Maryland?,3
How many locations does the team Newcastle Jets come from? ,3
What is the most points when the won is 9?,1
What is the number of played when points against 645?,3
Name the most points for,1
Name the most points against when points for is 860,1
How many teams scored 616 points?,3
How many teams drew the widnes vikings?,3
How many games did whitehaven win?,2
What position did the sheffield eagles finish in?,0
What is the total points for the tean with 8 losses?,3
How many numbers are given for losses by the Keighley Cougars?,3
Name the number of australian marquee for travis dodd,3
What is the number of starts for 1987?,3
Name the total number of scoring average for money list rank of 174,3
What is the others# when bush% is 57.0%?,0
 what's the the mole with airdate being 5 january 2012,0
What is the number of steals for 2012,3
How many rebounds were there in 2008?,3
What year has Nerlens Noel (4) as blocker?,0
What is the most silver medals?,1
How many numbers were listed under Silver Medals for Portsmouth HS?,3
What was the smallest total number of medals?,2
What is the highest number of gold medals Naugatuck HS won?,1
what is the maximum round for gt3 winner hector lester tim mullen and pole position of jonny cocker paul drayson,1
How many coins have a diameter of 23mm?,3
What is the number of population for lithuania?,3
Name the total number of area for 775927 population,3
What is Austria's maximum area (km2)?,1
 how many air date with overall being 83/95,3
 how many viewers (m) with overall being 91/101,3
how many times was the qualifying score 60.750?,3
how many times is the qualifying score 61.400?,3
what is the lowest qualifying rank?,2
"what is the highest qualifying rank where the competition is olympic trials, the final-rank is 4 and qualifying score is 15.100?",1
What is the most recent year?,1
What year is Jiyai Shin the champion?,0
"How many episodes were aired on the Original air date for ""Circus, Circus""?",3
How many michelob ultra mountains classification for darren lill,3
What week did the Seahawks play at los angeles memorial coliseum?,0
"During what weak of the season was the game played on october 4, 1987?",0
In what week was the record 5-9?,0
"In what week was November 27, 1977?",0
